meme dangereux kima blida fiparout fi parout	ADV ADJ ADV PROPN _ ADP ADV
salam ya nasse ad3ooo rabi ysagam ahwale l'blade l' blade kbale o mba3ad le football	INTJ INTJ NOUN VERB PROPN VERB NOUN _ DET NOUN ADP CCONJ ADV DET NOUN
cha3b mrid hata f les commantaire ta3 chorouk tsabo ba3dakom o tat3ayro hhhhhhhhhhhhh rabi yahdina o yahdikom	NOUN ADJ ADP ADP DET NOUN ADP PROPN VERB PRON CCONJ VERB INTJ PROPN VERB CCONJ VERB
kadra allah wa machaa faal a3anaka alaah ala baloik	VERB PROPN CCONJ VERB VERB VERB PROPN ADP NOUN
vive bougera enchalah el3ame el 3ame eljaye el jaye fe real madrid	VERB PROPN INTJ _ DET NOUN _ DET ADJ ADP PROPN PROPN
rana jayne ya el 3adian hacha l hrarcha et l oharna	VERB ADJ INTJ DET NOUN ADV DET NOUN CCONJ DET NOUN
hada mabka hata les noir yetmasakhro b les algerien 3ayb welah lol	PRON ADJ ADP DET ADJ VERB ADP DET NOUN NOUN INTJ INTJ
M3a boumediene jusqu'a jusqu' a la mort	ADP PROPN _ ADP ADP DET NOUN
hajat rabi toujour nkolo marahba biha malgrè c'et c' et dure de vivre cette situation mais ça passe car c'èt c' èt luis qui donne et il reprend il faut le remerçi tjr mais dharbat èl3abd èl 3abd hiya li tajrah ???? que dieu soit avec vous ghaza !!! salutation	NOUN PROPN ADV VERB INTJ PRON ADP _ PRON VERB ADJ ADP VERB DET NOUN CCONJ PRON VERB CCONJ _ PRON VERB PRON PRON VERB CCONJ PRON VERB PRON VERB PRON VERB ADV CCONJ NOUN _ DET NOUN PRON PRON VERB PUNCT PRON PROPN VERB ADP PRON PROPN PUNCT NOUN
vive beladi walah yahfede wlade beladi o rbi m3akom o nchalah masorin	VERB NOUN INTJ VERB NOUN NOUN CCONJ PROPN PRON CCONJ INTJ ADJ
Kouli win la vérité	VERB ADV DET NOUN
